x coord, y coord
0.000000,0.000000
0.909091,-0.021017
1.818182,-0.027526
2.727273,-0.025296
3.636364,-0.015035
4.545455,0.000000
5.454545,0.015035
6.363636,0.025296
7.272727,0.027526
8.181818,0.021017
9.090909,0.007835
10.000000,0.000000
